391;5012;Cordoba;Cordoba - Patricios O Y N
392;5012;Cordoba;Cordoba - Res America
393;5012;Cordoba;Cordoba - San Nicolas
394;5012;Cordoba;Cordoba - Villa Azalais
395;5012;Cordoba;Cordoba - Yofre Norte
396;5012;Cordoba;Cordoba - Yofre Norte/Sud
397;5013;Cordoba;Cordoba
398;5013;Cordoba;Cordoba - Palmar
399;5013;Cordoba;Cordoba - Palmar / Amp Palmar
400;5013;Cordoba;Cordoba - Villa Los Pinos
401;5013;Cordoba;Cordoba - Yofre Sud
402;5014;Cordoba;Cordoba
403;5014;Cordoba;Cordoba - Ampliacion San Pablo
404;5014;Cordoba;Cordoba - Carcano
405;5014;Cordoba;Cordoba - Celso
406;5014;Cordoba;Cordoba - Cerveceros
407;5014;Cordoba;Cordoba - Cnel Olmedo
408;5014;Cordoba;Cordoba - Colon
409;5014;Cordoba;Cordoba - Coronel Olmedo
410;5014;Cordoba;Cordoba - Crisol N
411;5014;Cordoba;Cordoba - Crisol Norte
412;5014;Cordoba;Cordoba - Ferroviario Mitre
413;5014;Cordoba;Cordoba - J Espinosa
414;5014;Cordoba;Cordoba - Jardin Del Pilar
415;5014;Cordoba;Cordoba - Jardin Espinosa
416;5014;Cordoba;Cordoba - Jardin/Res San Carlos
417;5014;Cordoba;Cordoba - Jose Ignacio Diaz Seccion 2
418;5014;Cordoba;Cordoba - Lourdes
419;5014;Cordoba;Cordoba - Ona/B Masse
420;5014;Cordoba;Cordoba - Palamaro Onofrio
421;5014;Cordoba;Cordoba - Res San Carlos/B Masse
422;5014;Cordoba;Cordoba - San Pablo/R S Carlos
423;5014;Cordoba;Cordoba - San Vicente
424;5014;Cordoba;Cordoba - Talleres Sud
425;5014;Cordoba;Cordoba - V San Carlos
426;5014;Cordoba;Cordoba - Villa Revol
427;5015;Cordoba;Cordoba
428;5016;Cordoba;Cordoba
429;5016;Cordoba;Cordoba - Altos De Velez Sarsfield
430;5016;Cordoba;Cordoba - Canaveral
431;5016;Cordoba;Cordoba - Celso
432;5016;Cordoba;Cordoba - Ipona/ S Fernando
433;5016;Cordoba;Cordoba - J Hipodromo
434;5016;Cordoba;Cordoba - Jardin
435;5016;Cordoba;Cordoba - Jardin/Res San Carlos
436;5016;Cordoba;Cordoba - Kennedy
437;5016;Cordoba;Cordoba - Las Flores
438;5016;Cordoba;Cordoba - Los Cerveceros
439;5016;Cordoba;Cordoba - Los Olmos
440;5016;Cordoba;Cordoba - Parque Latino
441;5016;Cordoba;Cordoba - Parque Los Molinos
442;5016;Cordoba;Cordoba - Parque Velez Sarsfield
443;5016;Cordoba;Cordoba - Pque Atlantica
444;5016;Cordoba;Cordoba - Res Country Club
445;5016;Cordoba;Cordoba - Resid Velez Sarsfield
446;5016;Cordoba;Cordoba - S Fernan/ Gral Artigas
447;5016;Cordoba;Cordoba - Suarez
448;5016;Cordoba;Cordoba - Velez Sarsfield
449;5016;Cordoba;Cordoba - Villa Eucaristica
450;5017;Cordoba;Cordoba
451;5017;Cordoba;Cordoba - A Carbo/Comercial
452;5017;Cordoba;Cordoba - Cabildo
453;5017;Cordoba;Cordoba - Colina Los Pinos
454;5017;Cordoba;Cordoba - Comercial
455;5017;Cordoba;Cordoba - Los Olmos Sur
456;5017;Cordoba;Cordoba - San Luis De Francia
457;5017;Cordoba;Cordoba - Santa Isabel 1
458;5017;Cordoba;Cordoba - Santa Isabel 2
459;5017;Cordoba;Cordoba - Santa Isabel 3
460;5017;Cordoba;Cordoba - Villa El Libertador
461;5018;Cordoba;Cordoba
462;5018;Cordoba;Cordoba - Saldan
463;5018;Cordoba;Cordoba - Villa Allende Parque
464;5018;Cordoba;Cordoba - Villa Rivera Indarte
465;5019;Cordoba;Cordoba
466;5019;Cordoba;Cordoba - 28
467;5019;Cordoba;Cordoba - Guinazu
468;5019;Cordoba;Cordoba - J L De Cabrera
469;5019;Cordoba;Cordoba - J L De La Cabrera
470;5019;Cordoba;Cordoba - Jorge Newbery
471;5019;Cordoba;Cordoba - Liceo 2
472;5019;Cordoba;Cordoba - Newbery/J L Cabrera
473;5019;Cordoba;Cordoba - Parque Liceo
474;5019;Cordoba;Cordoba - Parque Liceo 1 2 3
475;5019;Cordoba;Cordoba - Pque Liceo
476;5019;Cordoba;Cordoba - Remedios De Escalada
477;5020;Cordoba;Cordoba
478;5020;Cordoba;Cordoba - 25 De Mayo
479;5020;Cordoba;Cordoba - Alte Brown
480;5020;Cordoba;Cordoba - Avellaneda
481;5020;Cordoba;Cordoba - Dean Funes
482;5020;Cordoba;Cordoba - Ferreyra
483;5020;Cordoba;Cordoba - Ituzaingo Anexo
484;5020;Cordoba;Cordoba - Los Algarrobos
485;5020;Cordoba;Cordoba - Los Fresnos
486;5020;Cordoba;Cordoba - Los Huallacanes
487;5020;Cordoba;Cordoba - Los Mistoles
488;5020;Cordoba;Cordoba - Los Molles
489;5020;Cordoba;Cordoba - Los Sauces
490;5020;Cordoba;Cordoba - Los Talas
491;5020;Cordoba;Cordoba - Marcelo T De Alvear
492;5020;Cordoba;Cordoba - Rucci
493;5020;Cordoba;Cordoba - San Javier
494;5020;Cordoba;Cordoba - San Lorenzo Sud
495;5020;Cordoba;Cordoba - Villa Ofelia
496;5021;Cordoba;Cordoba
497;5021;Cordoba;Cordoba - Alborada
498;5021;Cordoba;Cordoba - Alto Hermoso
499;5021;Cordoba;Cordoba - Arguello
500;5021;Cordoba;Cordoba - Arguello Sur
501;5021;Cordoba;Cordoba - Arguello/Los Nogales
502;5021;Cordoba;Cordoba - El Mirador De La Recta
503;5021;Cordoba;Cordoba - El Refugio
504;5021;Cordoba;Cordoba - Granja De Funes
505;5021;Cordoba;Cordoba - Granja Funes
506;5021;Cordoba;Cordoba - Hermoso
507;5021;Cordoba;Cordoba - Lasalle
508;5021;Cordoba;Cordoba - Los Carolinos
509;5021;Cordoba;Cordoba - Parque Modelo
510;5021;Cordoba;Cordoba - Portal Del Jacaranda
511;5021;Cordoba;Cordoba - Portal Jacaranda
512;5021;Cordoba;Cordoba - Quintas De Arguello
513;5021;Cordoba;Cordoba - Residencial San Jose
514;5021;Cordoba;Cordoba - Santa Cecilia
515;5021;Cordoba;Cordoba - Villa Alborada
516;5021;Cordoba;Cordoba - Villa Arguello
517;5021;Cordoba;Cordoba - Villa Belgrano
518;5021;Cordoba;Cordoba - Villa Claret
519;5021;Cordoba;Cordoba - Villa Solferino
520;5021;Cordoba;Cordoba - Villa Warcalde
521;5021;Cordoba;Villa Allende
522;5022;Cordoba;Cordoba
523;5022;Cordoba;Cordoba - 9 De Julio
524;5022;Cordoba;Cordoba - Arguello
525;5022;Cordoba;Cordoba - Arguello Norte
526;5022;Cordoba;Cordoba - Autodromo
527;5022;Cordoba;Cordoba - Boulevares
528;5022;Cordoba;Cordoba - Brigadier San Martin
529;5022;Cordoba;Cordoba - Cerro Norte
530;5022;Cordoba;Cordoba - El Rincon
531;5022;Cordoba;Cordoba - Granja De Funes
532;5022;Cordoba;Cordoba - Granja Funes
533;5022;Cordoba;Cordoba - Granja Funes-Los Boulevares
534;5022;Cordoba;Cordoba - La Tablada
535;5022;Cordoba;Cordoba - Los Boulevares
536;5022;Cordoba;Cordoba - Mercantil
537;5022;Cordoba;Cordoba - Rivera Indarte
538;5022;Cordoba;Cordoba - Silvano Funes
539;5022;Cordoba;Cordoba - Suquia
540;5022;Cordoba;Cordoba - U O C R A
541;5022;Cordoba;Cordoba - Uocra
542;5022;Cordoba;Cordoba - Villa 9 De Julio
543;5022;Cordoba;Cordoba - Villa Cornu
544;5022;Cordoba;Cordoba - Villa Cornui
545;5022;Cordoba;Cordoba - Villa Serrana
546;5022;Cordoba;Cordoba - Walker
547;5023;Cordoba;Cordoba
548;5023;Cordoba;Cordoba - Comando 3 Cuerpo De Ejercito
549;5024;Cordoba;Cordoba
550;5029;Cordoba;Los Aguirres
551;5068;Cordoba;La Cumbre
552;5075;Cordoba;San Esteban
553;5100;Cordoba;Expediciàn Co
554;5101;Cordoba;Bajo De Fernandez
555;5101;Cordoba;Bajo Grande
556;5101;Cordoba;Capilla De Cosme
557;5101;Cordoba;Colonia Cosme Sud
558;5101;Cordoba;Colonia Tirolesa
559;5101;Cordoba;E De Artilleria
560;5101;Cordoba;El Gateado
561;5101;Cordoba;El Quebrachal
562;5101;Cordoba;General Las Heras
563;5101;Cordoba;La Cocha
564;5101;Cordoba;Lagunilla
565;5101;Cordoba;Las Playas Lozada
566;5101;Cordoba;Los Cedros
567;5101;Cordoba;Los Olivares
568;5101;Cordoba;Malagueno
569;5101;Cordoba;Paso Del Sauce
570;5101;Cordoba;Villa Esquiu
571;5101;Cordoba;Yocsina
572;5102;Cordoba;La Puerta
573;5103;Cordoba;Cordoba
574;5104;Cordoba;Lozada
575;5104;Cordoba;Tirolesa
576;5105;Cordoba;Villa Allende
577;5106;Cordoba;Villa Cerro Azul
578;5107;Cordoba;Agua De Oro
579;5107;Cordoba;Mendiolaza
580;5108;Cordoba;Mendiolaza
581;5109;Cordoba;Unquillo
582;5110;Cordoba;Malagueno
583;5111;Cordoba;Candonga
584;5111;Cordoba;Rio Ceballos
585;5112;Cordoba;Santa Ana
586;5113;Cordoba;Salsipuedes
587;5114;Cordoba;El Manzano
588;5115;Cordoba;La Granja
589;5117;Cordoba;Asconchinga
590;5117;Cordoba;La Pampa
591;5117;Cordoba;La Paz
592;5117;Cordoba;San Jorge
593;5117;Cordoba;San Miguel
594;5118;Cordoba;Monte Ralo
595;5119;Cordoba;Alto De Fierro
596;5119;Cordoba;Alto Del Durazno
597;5119;Cordoba;Bouwer
598;5119;Cordoba;Coronel Olmedo
599;5119;Cordoba;Duarte Quiros
600;5119;Cordoba;La Lagunilla
601;5119;Cordoba;Monte Gde R Garcia
602;5119;Cordoba;Monte Ralo
603;5119;Cordoba;San Antonio Norte
604;5120;Cordoba;Laboulaye
605;5121;Cordoba;Alto Alegre
606;5121;Cordoba;Buena Vista
607;5121;Cordoba;Despeqaderos
608;5121;Cordoba;Despenaderos
609;5121;Cordoba;San Antonio
610;5123;Cordoba;Barrio Dean Funes
611;5123;Cordoba;Ferreyra (Cordoba)
612;5123;Cordoba;Toledo
613;5124;Cordoba;Santiago Temple
614;5124;Cordoba;Santiago Temple (Cordoba)
615;5125;Cordoba;C Sagrada Familia
616;5125;Cordoba;Capilla De Dolores
617;5125;Cordoba;Constitucion
618;5125;Cordoba;Higuerillas
619;5125;Cordoba;Kilometro 658
620;5125;Cordoba;Kilometro 691
621;5125;Cordoba;La Celina
622;5125;Cordoba;Los Chanaritos
623;5125;Cordoba;Malvinas Argentinas
624;5125;Cordoba;Monte Cristo
625;5125;Cordoba;Pozo De La Loma
626;5125;Cordoba;Santiago Temple
627;5126;Cordoba;Malvinas Argentinas
628;5127;Cordoba;Charcas Norte
629;5127;Cordoba;Las Cabras
630;5127;Cordoba;Los Guindos
631;5127;Cordoba;Los Mansillas
632;5127;Cordoba;Pedro E Vivas
633;5127;Cordoba;Rio Primero
634;5127;Cordoba;Tala Sud
635;5128;Cordoba;Mi Granja
636;5129;Cordoba;Capilla La Espza
637;5129;Cordoba;Castellanos
638;5129;Cordoba;Comechingones
639;5129;Cordoba;El Crispin
640;5129;Cordoba;Espinillo
641;5129;Cordoba;Isla Del Cerro
642;5129;Cordoba;Isla Larga
643;5129;Cordoba;La Buena Parada
644;5129;Cordoba;La Estrella
645;5129;Cordoba;Las Acacias
646;5129;Cordoba;Las Piguas
647;5129;Cordoba;Punta Del Agua
648;5130;Cordoba;Piquillin
649;5131;Cordoba;Buey Muerto
650;5131;Cordoba;El Alcalde
651;5131;Cordoba;Esperanza
652;5131;Cordoba;Esquina
